level_0,index,caption,caption_summary,image
0,1,DF TEM images (g=10-1-0; left),"['TEM images', 'material characterization', 'g=10-1-0']",image_folder/s41563-023-01595-0_fig3_a.jpg
1,2,Aberration-corrected ADF STEM images taken at the edge pinning site,"['STEM images', 'edge pinning site', 'aberration-corrected']",image_folder/s41563-023-01595-0_fig3_e.jpg
2,3,Aberration-corrected ADF STEM images taken at the bulk pinning site,"['STEM images', 'bulk pinning site', 'aberration-corrected']",image_folder/s41563-023-01595-0_fig3_f.jpg
3,4,A CryoEM map of a thread cable at 13 Å resolution.,"['CryoEM', 'thread cable', '13 Å resolution']",image_folder/s41467-022-34652-4_fig2_a.jpg
4,5,Graphene covering a region (Gr) of Alexa Fluor 488-phalloidin-labelled BS-C-1 cells on coverglass. Bright-field microscopy.,"['graphene', 'fluorescence microscopy', 'cell labeling']",image_folder/ncomms8384_fig1_b.jpg
5,6,"Graphene-covered (right 2/3) and non-covered (left 1/3) labelled (green: Alexa Fluor 647-labelled tubulin; red: Alexa Fluor 555-labelled actin) BS-C-1 cells, after exposure to a sodium borohydride bleaching solution. Bright-field image.","['Graphene', 'cells', 'characterization']",image_folder/ncomms8384_fig1_e.jpg
6,7,Fluorescence microscopy of Alexa Fluor 488-phalloidin.,"['fluorescence microscopy', 'Alexa Fluor 488-phalloidin']",image_folder/ncomms8384_fig1_c.jpg
7,8,"SEM image of a graphene-covered, wet COS-7 cell that was fixed and membrane-extracted for preservation of the actin cytoskeleton and stained with tannic acid and uranyl acetate. V0=5 kV.","['graphene', 'wet cell', 'SEM image']",image_folder/ncomms8384_fig2_i.jpg
8,9,Zoom-in of i.,"['materials', 'characterization techniques', 'zoom-in']",image_folder/ncomms8384_fig2_j.jpg
9,10,"Graphene-covered cells in the same sample, image taken under the same conditions as b.","['graphene', 'cells', 'sample']",image_folder/ncomms8384_fig2_c.jpg
10,11,Non-covered cells at higher magnification (V0=2 kV).,"['cells', 'magnification', 'characterization']",image_folder/ncomms8384_fig2_b.jpg
11,12,"Zoom-out SEM image of graphene-covered (Gr) and non-covered (NG), fixed and lightly stained wet COS-7 cells on coverglass.","['graphene', 'wet cells', 'SEM image']",image_folder/ncomms8384_fig2_a.jpg
12,13,Zoom in of c.,"['materials', 'characterization techniques', 'zoom in']",image_folder/ncomms8384_fig2_d.jpg
13,14,"SEM image of graphene-covered, untreated live COS-7 cells, taken at V0=3 kV.","['graphene', 'SEM image', 'live cells']",image_folder/ncomms8384_fig2_e.jpg
14,15,"SEM image of graphene-covered, untreated live COS-7 cells, taken at V0=2 kV.","['graphene', 'SEM image', 'live cells']",image_folder/ncomms8384_fig2_f.jpg
15,16,"Correlated graphene-SEM (a) and 3D-STORM (b) images of the actin cytoskeleton in a wet, fixed and membrane-extracted COS-7 cell.","['graphene', 'SEM', '3D-STORM']",image_folder/ncomms8384_fig3_a.jpg
16,17,"Correlated and overlaid graphene-SEM and 3D-STORM images of a wet, fixed COS-7 cell that was not membrane extracted (Fig. 2h). For STORM, the sample was immunolabelled for TOM20, a mitochondrial outer-membrane marker.","['graphene', 'SEM', '3D-STORM']",image_folder/ncomms8384_fig3_b.jpg
17,18,"Colour scale in b is used to indicate height (z) in b,c. Scale bars, 1 μm (a,b); 2 μm (c,d). White and yellow scale bars in c,d correspond to scales obtained from graphene-SEM and STORM, respectively.","['height', 'scale bars', 'graphene']",image_folder/ncomms8384_fig3_d.jpg
18,19,Correlated and overlaid two-colour STORM (green for actin; red for TOM20) and graphene-SEM (white) images for another membrane-extracted fixed cell.,"['actin', 'TOM20', 'graphene']",image_folder/ncomms8384_fig3_c.jpg
19,20,Fluorescence light microscopy shows the Golgi resident enzyme GalNAc-T2GFP stably expressed in HeLa cells and exclusively localized to the juxta-nuclear region.,"['fluorescence microscopy', 'Golgi resident enzyme', 'GalNAc-T2GFP']",image_folder/nmeth806_fig1_a.jpg
20,21,The luminal precipitation of DAB confirms the predicted topology of GalNAc-T2GFP (arrow).,"['DAB', 'GalNAc-T2GFP', 'topology']",image_folder/nmeth806_fig1_c.jpg
21,22,"After photooxidation and epon embedding, the DAB staining can be identified by electron microscopy resembling the EGFP localization at the juxtanuclear Golgi stack. At higher magnification, the DAB polymerization sites can be precisely localized to the cisternal lumina with a gradient-like distribution across the Golgi stack.","['DAB staining', 'electron microscopy', 'Golgi stack']",image_folder/nmeth806_fig1_b.jpg
22,23,"Control cells without EGFP expression do not show any precipitation in the Golgi apparatus after illumination. The osmiophilic autophagosomes (AV) show generally dark staining independent of illumination, GFP expression or presence of DAB. ER lumen is not labeled.","['Golgi apparatus', 'autophagosomes', 'ER lumen']",image_folder/nmeth806_fig1_d.jpg
23,24,4 min (d),"['material science', 'characterization techniques', 'microscopy']",image_folder/nmeth806_fig2_d.jpg
24,25,Hela cells expressing the cyan mutant ECFP fused to GalNAc-T2 are shown by fluorescence light microscopy. The indicated cell (arrow) was then followed during the incubation and finally analyzed at the ultrastructural level.,"['Hela cells', 'fluorescence microscopy', 'ultrastructural analysis']",image_folder/nmeth806_fig2_a.jpg
25,26,6 min (e),"['materials', 'characterization techniques', 'scientific']",image_folder/nmeth806_fig2_e.jpg
26,27,"In the 3D model extracted from the tomogram, the GalNAc-T2GFP–containing cisternae are colored green, GalNAc-T2GFP–containing vesicles are red, other vesicles are white, unlabeled cisternae are blue and the endoplasmic reticulum is purple.","['3D model', 'tomogram', 'GalNAc-T2GFP']",image_folder/nmeth806_fig4_b.jpg
27,28,"In a different-angle view, the localization of a red vesicle containing resident enzymes adjacent to GalNAc-T2GFP–labeled cisternae becomes more evident (compare to arrow in a). A virtual section of the tomogram is set as background image.","['vesicle localization', 'resident enzymes', 'cisternae']",image_folder/nmeth806_fig4_c.jpg
28,29,A GalNAc-T2GFP–containing vesicle (arrow in a) was reconstructed by gray-level thresholding as an alternative representation method to manual tracing (shown in perspective views with and without virtual sections).,"['GalNAc-T2GFP', 'vesicle', 'reconstruction']",image_folder/nmeth806_fig4_f.jpg
29,30,Unlabeled cisternae are omitted.,"['cisternae', 'labeling', 'omission']",image_folder/nmeth806_fig4_d.jpg
30,31,"Scale bar, 100 nm.","['nanoscale', 'characterization', 'scale bar']",image_folder/nmeth806_fig4_g.jpg
31,32,"3D movies of the tomogram and the vesicle, are available (Supplementary Videos 1 and 2, respectively).","['tomogram', 'vesicle', '3D movies']",image_folder/nmeth806_fig4_h.jpg
32,33,"By density thresholding, a domain-like pattern of GalNAc-T2GFP across a cisterna is highlighted.","['density thresholding', 'GalNAc-T2GFP', 'domain-like pattern']",image_folder/nmeth806_fig4_e.jpg
33,34,In unstained cryogenic conditions.,"['cryogenic', 'unstained', 'materials']",image_folder/nsmb728_fig2_c.jpg
34,35,In negative stain.,"['negative stain', 'characterization technique']",image_folder/nsmb728_fig2_a.jpg
35,36,In cryo-negative stain.,['cryo-negative stain'],image_folder/nsmb728_fig2_b.jpg
36,37,"cryo-EM images of the SEI interface showing the SEI thickness (b,f)","['cryo-EM', 'SEI interface', 'thickness']",image_folder/s41560-019-0413-3_fig3_b.jpg
37,38,magnified images of the blue region (c) outlined in b,"['magnified images', 'blue region', 'characterization techniques']",image_folder/s41560-019-0413-3_fig3_c.jpg
38,39,"magnified images of the green region (g) outlined in f, showing the structure of the SEI interface","['SEI interface', 'magnified images']",image_folder/s41560-019-0413-3_fig3_g.jpg
39,40,"cryo-EM images of Li metal particles showing the particle size (a,e)","['cryo-EM', 'Li metal particles', 'particle size']",image_folder/s41560-019-0413-3_fig3_a.jpg
40,41,"cryo-EM images of Li metal particles showing the particle size (a,e)","['Li metal particles', 'cryo-EM', 'particle size']",image_folder/s41560-019-0413-3_fig3_e.jpg
41,42,SEM images of Li metal particles deposited at 30 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_f.jpg
42,43,SEM images of Li metal particles deposited at 20 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_e.jpg
43,44,SEM images of Li metal particles deposited at −20 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_a.jpg
44,45,SEM images of Li metal particles deposited at 10 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_d.jpg
45,46,SEM images of Li metal particles deposited at −10 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_b.jpg
46,47,SEM images of Li metal particles deposited at 0 °C,"['SEM images', 'Li metal particles', 'deposition']",image_folder/s41560-019-0413-3_fig4_c.jpg
47,48,"b Constant height nc-AFM with CO-tip of the unit cell of the self-assembly (white solid line, a = 1.85 ± 0.02 nm, φ = 122 ± 0.6°).","['nc-AFM', 'self-assembly', 'unit cell']",image_folder/s41467-023-40593-3_fig2_b.jpg
48,49,"a STM (VBias = 500 mV, Itunnel = 10 pA) topography overview of the ordered self-assembly structure of An and FCl-An molecules on Au(111).","['self-assembly', 'STM', 'topography']",image_folder/s41467-023-40593-3_fig2_a.jpg
49,50,c Probe Particle simulated nc-AFM image.,"['simulated nc-AFM image', 'Probe Particle']",image_folder/s41467-023-40593-3_fig2_c.jpg
50,51,Experimental LCPD maps of FCl-An and An acquired with the same CO-tip in constant height mode.,"['LCPD maps', 'FCl-An', 'An']",image_folder/s41467-023-40593-3_fig3_b.jpg
